"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HUR","TOT","PC_LF","A","2013",7.375,
"DNK","HUR","TOT","PC_LF","A","2014",6.925,
"DNK","HUR","TOT","PC_LF","A","2015",6.266667,
"DNK","HUR","TOT","PC_LF","A","2016",5.983333,
"DNK","HUR","TOT","PC_LF","A","2017",5.816667,
"DNK","HUR","TOT","PC_LF","A","2018",5.15,
"DNK","HUR","TOT","PC_LF","A","2019",5.025,
"DNK","HUR","TOT","PC_LF","A","2020",5.625,
"DNK","HUR","TOT","PC_LF","A","2021",5.1,
"FIN","HUR","TOT","PC_LF","A","2011",7.966667,
"FIN","HUR","TOT","PC_LF","A","2012",7.808333,
"FIN","HUR","TOT","PC_LF","A","2013",8.3,
"FIN","HUR","TOT","PC_LF","A","2014",8.75,
"FIN","HUR","TOT","PC_LF","A","2015",9.458333,
"FIN","HUR","TOT","PC_LF","A","2016",8.916667,
"FIN","HUR","TOT","PC_LF","A","2017",8.766666,
"FIN","HUR","TOT","PC_LF","A","2018",7.433333,
"FIN","HUR","TOT","PC_LF","A","2019",6.741667,
"FIN","HUR","TOT","PC_LF","A","2020",7.725,
"FIN","HUR","TOT","PC_LF","A","2021",7.675,
"FRA","HUR","TOT","PC_LF","A","2011",9.216666,
"FRA","HUR","TOT","PC_LF","A","2012",9.758333,
"FRA","HUR","TOT","PC_LF","A","2013",10.3,
"FRA","HUR","TOT","PC_LF","A","2014",10.275,
"FRA","HUR","TOT","PC_LF","A","2015",10.35,
"FRA","HUR","TOT","PC_LF","A","2016",10.06667,
"FRA","HUR","TOT","PC_LF","A","2017",9.425,
"FRA","HUR","TOT","PC_LF","A","2018",9.025,
"FRA","HUR","TOT","PC_LF","A","2019",8.433333,
"FRA","HUR","TOT","PC_LF","A","2020",8.033334,
"FRA","HUR","TOT","PC_LF","A","2021",7.875,
"DEU","HUR","TOT","PC_LF","A","2011",5.516667,
"DEU","HUR","TOT","PC_LF","A","2012",5.083333,
"DEU","HUR","TOT","PC_LF","A","2013",4.95,
"DEU","HUR","TOT","PC_LF","A","2014",4.708333,
"DEU","HUR","TOT","PC_LF","A","2015",4.366667,
"DEU","HUR","TOT","PC_LF","A","2016",3.908333,
"DEU","HUR","TOT","PC_LF","A","2017",3.566667,
"DEU","HUR","TOT","PC_LF","A","2018",3.208333,
"DEU","HUR","TOT","PC_LF","A","2019",2.975,
"DEU","HUR","TOT","PC_LF","A","2020",3.625,
"DEU","HUR","TOT","PC_LF","A","2021",3.575,
"GRC","HUR","TOT","PC_LF","A","2011",18.09167,
"GRC","HUR","TOT","PC_LF","A","2012",24.80833,
"GRC","HUR","TOT","PC_LF","A","2013",27.825,
"GRC","HUR","TOT","PC_LF","A","2014",26.65,
"GRC","HUR","TOT","PC_LF","A","2015",24.98333,
"GRC","HUR","TOT","PC_LF","A","2016",23.875,
"GRC","HUR","TOT","PC_LF","A","2017",21.84167,
"GRC","HUR","TOT","PC_LF","A","2018",19.74167,
"GRC","HUR","TOT","PC_LF","A","2019",17.88333,
"GRC","HUR","TOT","PC_LF","A","2020",17.61667,
"GRC","HUR","TOT","PC_LF","A","2021",14.79167,
"HUN","HUR","TOT","PC_LF","A","2011",10.65833,
"HUN","HUR","TOT","PC_LF","A","2012",10.58333,
"HUN","HUR","TOT","PC_LF","A","2013",9.633333,
"HUN","HUR","TOT","PC_LF","A","2014",7.458333,
"HUN","HUR","TOT","PC_LF","A","2015",6.516667,
"HUN","HUR","TOT","PC_LF","A","2016",4.883333,
"HUN","HUR","TOT","PC_LF","A","2017",4.05,
"HUN","HUR","TOT","PC_LF","A","2018",3.525,
"HUN","HUR","TOT","PC_LF","A","2019",3.25,
"HUN","HUR","TOT","PC_LF","A","2020",4.141667,
"HUN","HUR","TOT","PC_LF","A","2021",4.041667,
"IRL","HUR","TOT","PC_LF","A","2011",15.40833,
"IRL","HUR","TOT","PC_LF","A","2012",15.48333,
"IRL","HUR","TOT","PC_LF","A","2013",13.775,
"IRL","HUR","TOT","PC_LF","A","2014",11.88333,
"IRL","HUR","TOT","PC_LF","A","2015",9.925,
"IRL","HUR","TOT","PC_LF","A","2016",8.408334,
"IRL","HUR","TOT","PC_LF","A","2017",6.733333,
"IRL","HUR","TOT","PC_LF","A","2018",5.775,
"IRL","HUR","TOT","PC_LF","A","2019",4.975,
"IRL","HUR","TOT","PC_LF","A","2020",5.85,
"IRL","HUR","TOT","PC_LF","A","2021",6.266667,
"ITA","HUR","TOT","PC_LF","A","2011",8.508333,
"ITA","HUR","TOT","PC_LF","A","2012",10.88333,
"ITA","HUR","TOT","PC_LF","A","2013",12.36667,
"ITA","HUR","TOT","PC_LF","A","2014",12.825,
"ITA","HUR","TOT","PC_LF","A","2015",12,
"ITA","HUR","TOT","PC_LF","A","2016",11.75,
"ITA","HUR","TOT","PC_LF","A","2017",11.25833,
"ITA","HUR","TOT","PC_LF","A","2018",10.6,
"ITA","HUR","TOT","PC_LF","A","2019",9.933333,
"ITA","HUR","TOT","PC_LF","A","2020",9.3,
"ITA","HUR","TOT","PC_LF","A","2021",9.558333,
"LUX","HUR","TOT","PC_LF","A","2011",4.833333,
"LUX","HUR","TOT","PC_LF","A","2012",5.066667,
"LUX","HUR","TOT","PC_LF","A","2013",5.875,
"LUX","HUR","TOT","PC_LF","A","2014",6.05,
"LUX","HUR","TOT","PC_LF","A","2015",6.458333,
"LUX","HUR","TOT","PC_LF","A","2016",6.333333,
"LUX","HUR","TOT","PC_LF","A","2017",5.616667,
"LUX","HUR","TOT","PC_LF","A","2018",5.5,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"LUX","HUR","TOT","PC_LF","A","2020",6.691667,
"LUX","HUR","TOT","PC_LF","A","2021",5.425,
"NLD","HUR","TOT","PC_LF","A","2011",6.05,
"NLD","HUR","TOT","PC_LF","A","2012",6.816667,
"NLD","HUR","TOT","PC_LF","A","2013",8.191667,
"NLD","HUR","TOT","PC_LF","A","2014",8.35,
"NLD","HUR","TOT","PC_LF","A","2015",7.891667,
"NLD","HUR","TOT","PC_LF","A","2016",7,
"NLD","HUR","TOT","PC_LF","A","2017",5.875,
"NLD","HUR","TOT","PC_LF","A","2018",4.866667,
"NLD","HUR","TOT","PC_LF","A","2019",4.433333,
"NLD","HUR","TOT","PC_LF","A","2020",4.85,
"NLD","HUR","TOT","PC_LF","A","2021",4.225,
"POL","HUR","TOT","PC_LF","A","2011",9.95,
"POL","HUR","TOT","PC_LF","A","2012",10.39167,
"POL","HUR","TOT","PC_LF","A","2013",10.60833,
"POL","HUR","TOT","PC_LF","A","2014",9.208333,
"POL","HUR","TOT","PC_LF","A","2015",7.683333,
"POL","HUR","TOT","PC_LF","A","2016",6.283333,
"POL","HUR","TOT","PC_LF","A","2017",4.958333,
"POL","HUR","TOT","PC_LF","A","2018",3.883333,
"POL","HUR","TOT","PC_LF","A","2019",3.308333,
"POL","HUR","TOT","PC_LF","A","2020",3.216667,
"POL","HUR","TOT","PC_LF","A","2021",3.375,
"PRT","HUR","TOT","PC_LF","A","2011",13.51667,
"PRT","HUR","TOT","PC_LF","A","2012",16.575,
"PRT","HUR","TOT","PC_LF","A","2013",17.175,
"PRT","HUR","TOT","PC_LF","A","2014",14.65,
"PRT","HUR","TOT","PC_LF","A","2015",13.025,
"PRT","HUR","TOT","PC_LF","A","2016",11.46667,
"PRT","HUR","TOT","PC_LF","A","2017",9.225,
"PRT","HUR","TOT","PC_LF","A","2018",7.166667,
"PRT","HUR","TOT","PC_LF","A","2019",6.675,
"PRT","HUR","TOT","PC_LF","A","2020",7.116667,
"PRT","HUR","TOT","PC_LF","A","2021",6.591667,
"SVK","HUR","TOT","PC_LF","A","2011",13.60833,
"SVK","HUR","TOT","PC_LF","A","2012",13.9,
"SVK","HUR","TOT","PC_LF","A","2013",14.13333,
"SVK","HUR","TOT","PC_LF","A","2014",13.1,
"SVK","HUR","TOT","PC_LF","A","2015",11.46667,
"SVK","HUR","TOT","PC_LF","A","2016",9.658334,
"SVK","HUR","TOT","PC_LF","A","2017",8.083333,
"SVK","HUR","TOT","PC_LF","A","2018",6.508333,
"SVK","HUR","TOT","PC_LF","A","2019",5.716667,
"SVK","HUR","TOT","PC_LF","A","2020",6.658333,
"SVK","HUR","TOT","PC_LF","A","2021",6.825,
"ESP","HUR","TOT","PC_LF","A","2011",21.40833,
"ESP","HUR","TOT","PC_LF","A","2012",24.79167,
"ESP","HUR","TOT","PC_LF","A","2013",26.11667,
"ESP","HUR","TOT","PC_LF","A","2014",24.45,
"ESP","HUR","TOT","PC_LF","A","2015",22.075,
"ESP","HUR","TOT","PC_LF","A","2016",19.65,
"ESP","HUR","TOT","PC_LF","A","2017",17.23333,
"ESP","HUR","TOT","PC_LF","A","2018",15.26667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"ESP","HUR","TOT","PC_LF","A","2020",15.53333,
"ESP","HUR","TOT","PC_LF","A","2021",14.79167,
"SWE","HUR","TOT","PC_LF","A","2011",7.95,
"SWE","HUR","TOT","PC_LF","A","2012",8.15,
"SWE","HUR","TOT","PC_LF","A","2013",8.208333,
"SWE","HUR","TOT","PC_LF","A","2014",8.1,
"SWE","HUR","TOT","PC_LF","A","2015",7.591667,
"SWE","HUR","TOT","PC_LF","A","2016",7.15,
"SWE","HUR","TOT","PC_LF","A","2017",6.858333,
"SWE","HUR","TOT","PC_LF","A","2018",6.516667,"B"
"SWE","HUR","TOT","PC_LF","A","2019",6.975,
"SWE","HUR","TOT","PC_LF","A","2020",8.541667,
"SWE","HUR","TOT","PC_LF","A","2021",8.8,
"TUR","HUR","TOT","PC_LF","A","2011",9.141666,
"TUR","HUR","TOT","PC_LF","A","2012",8.433333,
"TUR","HUR","TOT","PC_LF","A","2013",9.05,"B"
"TUR","HUR","TOT","PC_LF","A","2014",9.883333,
"TUR","HUR","TOT","PC_LF","A","2015",10.33333,
"TUR","HUR","TOT","PC_LF","A","2016",10.90833,
"TUR","HUR","TOT","PC_LF","A","2017",10.925,
"TUR","HUR","TOT","PC_LF","A","2018",10.89167,
"TUR","HUR","TOT","PC_LF","A","2019",13.74167,
"TUR","HUR","TOT","PC_LF","A","2020",13.14167,
"TUR","HUR","TOT","PC_LF","A","2021",12.03333,
"EST","HUR","TOT","PC_LF","A","2011",12.35,
"EST","HUR","TOT","PC_LF","A","2012",9.908334,
"EST","HUR","TOT","PC_LF","A","2013",8.491667,
"EST","HUR","TOT","PC_LF","A","2014",7.316667,
"EST","HUR","TOT","PC_LF","A","2015",6.391667,
"EST","HUR","TOT","PC_LF","A","2016",6.833333,
"EST","HUR","TOT","PC_LF","A","2017",5.808333,
"EST","HUR","TOT","PC_LF","A","2018",5.391667,
"EST","HUR","TOT","PC_LF","A","2019",4.483333,
"EST","HUR","TOT","PC_LF","A","2020",6.883333,
"EST","HUR","TOT","PC_LF","A","2021",6.208333,
"SVN","HUR","TOT","PC_LF","A","2011",8.183333,
"SVN","HUR","TOT","PC_LF","A","2012",8.85,
"SVN","HUR","TOT","PC_LF","A","2013",10.10833,
"SVN","HUR","TOT","PC_LF","A","2014",9.7,
"SVN","HUR","TOT","PC_LF","A","2015",8.983334,
"SVN","HUR","TOT","PC_LF","A","2016",8.008333,
"SVN","HUR","TOT","PC_LF","A","2017",6.575,
"SVN","HUR","TOT","PC_LF","A","2018",5.125,
"SVN","HUR","TOT","PC_LF","A","2019",4.441667,
"SVN","HUR","TOT","PC_LF","A","2020",4.983333,
"SVN","HUR","TOT","PC_LF","A","2021",4.775,
"OECD","HUR","TOT","PC_LF","A","2011",8.126883,"E"
"OECD","HUR","TOT","PC_LF","A","2012",8.107555,"E"
"OECD","HUR","TOT","PC_LF","A","2013",8.013521,"E"
"OECD","HUR","TOT","PC_LF","A","2014",7.455067,"E"
"OECD","HUR","TOT","PC_LF","A","2015",6.888381,"E"
"OECD","HUR","TOT","PC_LF","A","2016",6.470102,"E"
"OECD","HUR","TOT","PC_LF","A","2017",5.940654,"E"
"OECD","HUR","TOT","PC_LF","A","2018",5.491814,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.418824,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.164883,"E"
"OECD","HUR","TOT","PC_LF","A","2021",6.163191,"E"
"LVA","HUR","TOT","PC_LF","A","2011",16.20833,
"LVA","HUR","TOT","PC_LF","A","2012",15.04167,
"LVA","HUR","TOT","PC_LF","A","2013",11.85833,
"LVA","HUR","TOT","PC_LF","A","2014",10.84167,
"LVA","HUR","TOT","PC_LF","A","2015",9.875,
"LVA","HUR","TOT","PC_LF","A","2016",9.633333,
"LVA","HUR","TOT","PC_LF","A","2017",8.708333,
"LVA","HUR","TOT","PC_LF","A","2018",7.4,
"LVA","HUR","TOT","PC_LF","A","2019",6.316667,
"LVA","HUR","TOT","PC_LF","A","2020",8.091666,
"LVA","HUR","TOT","PC_LF","A","2021",7.575,
"LTU","HUR","TOT","PC_LF","A","2011",15.39167,
"LTU","HUR","TOT","PC_LF","A","2012",13.40833,
"LTU","HUR","TOT","PC_LF","A","2013",11.8,
"LTU","HUR","TOT","PC_LF","A","2014",10.725,
"LTU","HUR","TOT","PC_LF","A","2015",9.133333,
"LTU","HUR","TOT","PC_LF","A","2016",7.9,
"LTU","HUR","TOT","PC_LF","A","2017",7.116667,
"LTU","HUR","TOT","PC_LF","A","2018",6.183333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"LTU","HUR","TOT","PC_LF","A","2020",8.516666,
"LTU","HUR","TOT","PC_LF","A","2021",7.125,
